time_ms,light,motion,label
1000,314,0,0
2000,314,0,0
3000,314,0,0
4000,314,0,0
5000,314,0,0
6000,314,0,0
7000,314,0,0
8000,314,0,0
9000,314,0,0
10000,314,0,0
11000,314,0,0
12000,314,0,0
13000,314,0,0
14000,314,0,0
15000,314,0,0
16000,314,0,0
17000,314,0,0
18000,314,0,0
19000,314,0,0
20000,314,0,0
21000,314,0,0
22000,314,0,0
23000,314,0,0
24000,314,0,0
25000,314,0,0
26000,314,0,0
27000,314,0,0
28000,314,0,0
29000,314,0,0
30000,314,0,0
31000,314,0,0
32000,314,0,0
33000,314,0,0
34000,314,0,0
35000,314,0,0
36000,314,0,0
37000,314,0,0
38000,314,0,0
39000,314,0,0
40000,314,0,0
41000,314,0,0
42000,314,0,0
43000,314,0,0
44000,314,0,0
45000,314,0,0
46000,314,0,0
47000,314,0,0
48000,314,0,0
49000,314,0,0
50000,314,0,0
51000,314,0,0
52000,314,0,0
53000,314,0,0
54000,314,0,0
55000,314,0,0
56000,314,0,0
57000,314,0,0
58000,314,0,0
59000,314,0,0
60000,314,0,0
61000,314,0,0
62000,314,0,0
63000,314,0,0
64000,314,0,0
65000,314,0,0
66000,314,0,0
67000,314,0,0
68000,314,0,0
69000,314,0,0
70000,314,0,0
71000,314,0,0
72000,314,0,0
73000,314,0,0
74000,314,0,0
75000,314,0,0
76000,314,0,0
77000,314,0,0
78000,314,0,0
79000,315,0,0
80000,314,0,0
81000,314,0,0
82000,315,0,0
83000,315,0,0
84000,315,0,0
85000,315,0,0
86000,315,0,0
87000,315,0,0
88000,315,0,0
89000,315,0,0
90000,315,0,0
91000,315,0,0
92000,314,0,0
93000,315,0,0
94000,315,0,0
95000,315,0,0
96000,315,0,0
97000,315,0,0
98000,314,0,0
99000,315,0,0
100000,315,0,0
101000,315,0,0
102000,314,0,0
103000,314,0,0
104000,314,0,0
105000,315,0,0
106000,314,0,0
107000,315,0,0
108000,314,0,0
109000,314,0,0
110000,315,0,0
111000,315,0,0
112000,315,0,0
113000,314,0,0
114000,315,0,0
115000,315,0,0
116000,315,0,0
117000,315,0,0
118000,315,0,0
119000,315,0,0
120000,315,0,0
121000,315,0,0
122000,315,0,0
123000,315,0,0
124000,315,0,0
125000,315,0,0
126000,315,0,0
127000,315,0,0
128000,315,0,0
129000,315,0,0
130000,315,0,0
131000,315,0,0
132000,315,0,0
133000,315,0,0
134000,315,0,0
135000,316,0,0
136000,316,0,0
137000,316,0,0
138000,316,0,0
139000,316,0,0
140000,316,0,0
141000,316,0,0
142000,316,0,0
143000,316,0,0
144000,316,0,0
145000,316,0,0
146000,315,0,0
147000,317,1,0
148000,317,1,1
149000,317,1,1
150000,317,1,1
151000,317,1,1
152000,317,1,1
153000,317,1,1
154000,317,1,1
155000,316,1,1
156000,316,1,1
157000,336,1,1
158000,395,1,1
159000,382,1,1
160000,435,1,1
161000,436,1,1
162000,433,0,1
163000,435,0,1
164000,436,0,1
165000,419,0,1
166000,420,1,1
167000,419,1,1
168000,417,1,1
169000,416,1,1
170000,419,1,1
171000,427,1,1
172000,405,1,1
173000,395,1,1
174000,404,1,1
175000,405,1,1
176000,330,1,1
177000,316,1,1
178000,316,1,1
179000,316,1,1
180000,316,1,1
181000,316,1,1
182000,316,1,1
183000,316,1,1
184000,316,1,1
185000,316,1,1
186000,316,1,1
187000,316,1,1
188000,316,1,1
189000,316,0,1
190000,316,0,1
191000,316,0,1
192000,316,0,1
193000,316,0,1
194000,316,0,1
195000,315,0,1
196000,315,0,1
197000,315,0,1
198000,387,0,1
199000,381,0,1
200000,377,0,1
201000,373,1,0
202000,371,1,1
203000,371,1,1
204000,370,1,1
205000,370,1,1
206000,369,1,1
207000,369,1,1
208000,371,1,1
209000,370,1,1
210000,369,1,1
211000,369,1,1
212000,315,1,0
213000,314,1,0
214000,313,1,0
215000,312,1,0
216000,314,1,0
217000,314,1,0
218000,313,1,0
219000,313,1,0
220000,313,1,0
221000,313,1,0
222000,313,1,0
223000,313,1,0
224000,313,1,0
225000,315,1,0
226000,312,1,0
227000,259,1,0
228000,251,1,0
229000,248,1,0
230000,78,1,0
231000,91,1,0
232000,93,1,0
233000,94,1,0
234000,94,1,0
235000,95,1,0
236000,96,1,0
237000,96,1,0
238000,96,1,0
239000,96,1,0
240000,96,1,0
241000,96,1,0
242000,96,1,0
243000,96,1,0
244000,96,1,0
245000,97,0,0
246000,97,0,0
247000,97,0,0
248000,98,0,0
249000,98,0,0
250000,97,0,0
251000,97,0,0
252000,98,0,0
253000,99,0,0
254000,100,0,0
255000,99,0,0
256000,100,0,0
257000,101,1,0
258000,116,1,0
259000,122,1,0
260000,137,1,0
261000,129,1,0
262000,130,1,0
263000,129,1,0
264000,130,1,0
265000,132,1,0
266000,129,1,0
267000,127,0,0
268000,124,0,0
269000,129,0,0
270000,128,0,0
271000,126,0,0
272000,127,0,0
273000,127,0,0
274000,128,0,0
275000,127,0,0
276000,127,0,0
277000,130,0,0
278000,130,0,0
279000,131,0,0
280000,130,0,0
281000,130,0,0
282000,128,0,0
283000,128,0,0
284000,128,0,0
285000,128,0,0
286000,127,0,0
287000,128,0,0
288000,129,0,0
289000,129,0,0
290000,128,0,0
291000,127,0,0
292000,129,0,0
293000,127,0,0
294000,129,0,0
295000,128,0,0
296000,128,0,0
297000,127,0,0
298000,128,0,0
299000,129,0,0
300000,129,0,0
301000,130,0,0
302000,129,0,0
303000,128,0,0
304000,129,0,0
305000,130,0,0
306000,130,0,0
307000,130,0,0
308000,128,0,0
309000,129,0,0
310000,128,0,0
311000,129,0,0
312000,130,0,0
313000,131,0,0
314000,130,0,0
315000,132,0,0
316000,132,0,0
317000,131,0,0
318000,129,0,0
319000,130,0,0
320000,133,0,0
321000,132,0,0
322000,133,0,0
323000,134,0,0
324000,133,0,0
325000,134,0,0
326000,134,0,0
327000,132,0,0
328000,131,0,0
329000,133,0,0
330000,135,0,0
331000,136,0,0
332000,134,0,0
333000,134,0,0
334000,136,0,0
